ts_id,date,total,duoarea,process
2,2014-06-30,2900.0,NUS,VDV
2,2014-07-31,2997.0,NUS,VDV
2,2014-08-31,2997.0,NUS,VDV
2,2014-09-30,2900.0,NUS,VDV
2,2014-10-31,2997.0,NUS,VDV
2,2014-11-30,2900.0,NUS,VDV
2,2014-12-31,2997.0,NUS,VDV
2,2015-01-31,3345.0,NUS,VDV
2,2015-02-28,3022.0,NUS,VDV
2,2015-03-31,3345.0,NUS,VDV
2,2015-04-30,3238.0,NUS,VDV
2,2015-05-31,3345.0,NUS,VDV
2,2015-06-30,3238.0,NUS,VDV
2,2015-07-31,3345.0,NUS,VDV
2,2015-08-31,3345.0,NUS,VDV
2,2015-09-30,3238.0,NUS,VDV
2,2015-10-31,3345.0,NUS,VDV
2,2015-11-30,3238.0,NUS,VDV
2,2015-12-31,3345.0,NUS,VDV
2,2016-01-31,3560.0,NUS,VDV
2,2016-02-29,3330.0,NUS,VDV
2,2016-03-31,3560.0,NUS,VDV
2,2016-04-30,3445.0,NUS,VDV
2,2016-05-31,3560.0,NUS,VDV
2,2016-06-30,3445.0,NUS,VDV
2,2016-07-31,3560.0,NUS,VDV
2,2016-08-31,3560.0,NUS,VDV
2,2016-09-30,3445.0,NUS,VDV
2,2016-10-31,3560.0,NUS,VDV
2,2016-11-30,3445.0,NUS,VDV
2,2016-12-31,3560.0,NUS,VDV
2,2017-01-31,4094.0,NUS,VDV
2,2017-02-28,3698.0,NUS,VDV
2,2017-03-31,4094.0,NUS,VDV
2,2017-04-30,3962.0,NUS,VDV
2,2017-05-31,4094.0,NUS,VDV
2,2017-06-30,3962.0,NUS,VDV
2,2017-07-31,4094.0,NUS,VDV
2,2017-08-31,4094.0,NUS,VDV
2,2017-09-30,3962.0,NUS,VDV
2,2017-10-31,4094.0,NUS,VDV
2,2017-11-30,3962.0,NUS,VDV
2,2017-12-31,4094.0,NUS,VDV
2,2018-01-31,4282.0,NUS,VDV
2,2018-02-28,3867.0,NUS,VDV
2,2018-03-31,4282.0,NUS,VDV
2,2018-04-30,4144.0,NUS,VDV
2,2018-05-31,4282.0,NUS,VDV
2,2018-06-30,4144.0,NUS,VDV
2,2018-07-31,4282.0,NUS,VDV
2,2018-08-31,4282.0,NUS,VDV
2,2018-09-30,4144.0,NUS,VDV
2,2018-10-31,4282.0,NUS,VDV
2,2018-11-30,4144.0,NUS,VDV
2,2018-12-31,4282.0,NUS,VDV
2,2019-01-31,4515.0,NUS,VDV
2,2019-02-28,4078.0,NUS,VDV
2,2019-03-31,4515.0,NUS,VDV
2,2019-04-30,4370.0,NUS,VDV
2,2019-05-31,4515.0,NUS,VDV
2,2019-06-30,4370.0,NUS,VDV
2,2019-07-31,4515.0,NUS,VDV
2,2019-08-31,4515.0,NUS,VDV
2,2019-09-30,4370.0,NUS,VDV
2,2019-10-31,4515.0,NUS,VDV
2,2019-11-30,4370.0,NUS,VDV
2,2019-12-31,4515.0,NUS,VDV
2,2020-01-31,4162.0,NUS,VDV
2,2020-02-29,3894.0,NUS,VDV
2,2020-03-31,4162.0,NUS,VDV
2,2020-04-30,4028.0,NUS,VDV
2,2020-05-31,4162.0,NUS,VDV
2,2020-06-30,4028.0,NUS,VDV
2,2020-07-31,4162.0,NUS,VDV
2,2020-08-31,4162.0,NUS,VDV
2,2020-09-30,4028.0,NUS,VDV
2,2020-10-31,4162.0,NUS,VDV
2,2020-11-30,4028.0,NUS,VDV
2,2020-12-31,4162.0,NUS,VDV
2,2021-01-31,4629.0,NUS,VDV
2,2021-02-28,4181.0,NUS,VDV
2,2021-03-31,4629.0,NUS,VDV
2,2021-04-30,4479.0,NUS,VDV
2,2021-05-31,4629.0,NUS,VDV
2,2021-06-30,4479.0,NUS,VDV
2,2021-07-31,4629.0,NUS,VDV
2,2021-08-31,4629.0,NUS,VDV
2,2021-09-30,4479.0,NUS,VDV
2,2021-10-31,4629.0,NUS,VDV
2,2021-11-30,4479.0,NUS,VDV
2,2021-12-31,4629.0,NUS,VDV
2,2022-01-31,5520.0,NUS,VDV
2,2022-02-28,4986.0,NUS,VDV
2,2022-03-31,5520.0,NUS,VDV
2,2022-04-30,5342.0,NUS,VDV
2,2022-05-31,5520.0,NUS,VDV
2,2022-06-30,5342.0,NUS,VDV
2,2022-07-31,5520.0,NUS,VDV
2,2022-08-31,5520.0,NUS,VDV
2,2022-09-30,5342.0,NUS,VDV
2,2022-10-31,5520.0,NUS,VDV
2,2022-11-30,5342.0,NUS,VDV
2,2022-12-31,5520.0,NUS,VDV
2,2023-01-31,4514.0,NUS,VDV
2,2023-02-28,4077.0,NUS,VDV
2,2023-03-31,4514.0,NUS,VDV
2,2023-04-30,4368.0,NUS,VDV
2,2023-05-31,4514.0,NUS,VDV
2,2023-06-30,4368.0,NUS,VDV
2,2023-07-31,4514.0,NUS,VDV
2,2023-08-31,4514.0,NUS,VDV
2,2023-09-30,4368.0,NUS,VDV
2,2023-10-31,4514.0,NUS,VDV
2,2023-11-30,4368.0,NUS,VDV
2,2023-12-31,4514.0,NUS,VDV
