ts_id,date,total,Sex,state_and_territory,hier_1
1,2007-06-30,12768.836280822754,Females,Australian Capital Territory,1A
1,2007-09-30,14642.97370147705,Females,Australian Capital Territory,1A
1,2007-12-31,13134.050155639648,Females,Australian Capital Territory,1A
1,2008-03-31,13847.714828491211,Females,Australian Capital Territory,1A
1,2008-06-30,14452.860725402832,Females,Australian Capital Territory,1A
1,2008-09-30,11802.373641967773,Females,Australian Capital Territory,1A
1,2008-12-31,10169.363708496094,Females,Australian Capital Territory,1A
1,2009-03-31,11788.889373779297,Females,Australian Capital Territory,1A
1,2009-06-30,12515.500961303711,Females,Australian Capital Territory,1A
1,2009-09-30,12291.081314086914,Females,Australian Capital Territory,1A
1,2009-12-31,12633.09066772461,Females,Australian Capital Territory,1A
1,2010-03-31,14322.900001525879,Females,Australian Capital Territory,1A
1,2010-06-30,12842.058944702148,Females,Australian Capital Territory,1A
1,2010-09-30,13391.266067504883,Females,Australian Capital Territory,1A
1,2010-12-31,13393.558776855469,Females,Australian Capital Territory,1A
1,2011-03-31,12192.194580078125,Females,Australian Capital Territory,1A
1,2011-06-30,14123.555000305176,Females,Australian Capital Territory,1A
1,2011-09-30,12916.010520935059,Females,Australian Capital Territory,1A
1,2011-12-31,13476.804458618164,Females,Australian Capital Territory,1A
1,2012-03-31,14829.46736907959,Females,Australian Capital Territory,1A
1,2012-06-30,14229.52230834961,Females,Australian Capital Territory,1A
1,2012-09-30,13725.715454101562,Females,Australian Capital Territory,1A
1,2012-12-31,13772.333938598633,Females,Australian Capital Territory,1A
1,2013-03-31,12721.46794128418,Females,Australian Capital Territory,1A
1,2013-06-30,13401.605781555176,Females,Australian Capital Territory,1A
1,2013-09-30,12165.219772338867,Females,Australian Capital Territory,1A
1,2013-12-31,11692.12240600586,Females,Australian Capital Territory,1A
1,2014-03-31,12835.172225952148,Females,Australian Capital Territory,1A
1,2014-06-30,13838.918319702148,Females,Australian Capital Territory,1A
1,2014-09-30,14607.886116027832,Females,Australian Capital Territory,1A
1,2014-12-31,13770.681777954102,Females,Australian Capital Territory,1A
1,2015-03-31,10699.084976196289,Females,Australian Capital Territory,1A
